title,genres,vote_average
Yojimbo,"['Drama', 'Thriller']",8.0
Repossessed,"['Comedy', 'Horror']",4.5
The Omega Man,"['Action', 'Science Fiction', 'Thriller']",6.0
Spaceballs,"['Comedy', 'Science Fiction']",6.7
Robin Hood,"['Animation', 'Family']",7.0
Mister Roberts,"['Comedy', 'Drama', 'Family', 'War']",7.3
Little Big Man,"['Adventure', 'Western', 'History']",7.5
A Face in the Crowd,['Drama'],7.4
Trading Places,['Comedy'],7.1
Meatballs,['Comedy'],5.9
Meatballs Part II,['Comedy'],3.5
Meatballs III: Summer Job,['Comedy'],4.4
Meatballs 4,['Comedy'],3.3
Dead Again,['Thriller'],6.7
Under the Rainbow,['Comedy'],4.9
How I Won the War,"['Comedy', 'War']",5.6
Anywhere But Here,"['Drama', 'Comedy', 'Romance']",5.9
Dogma,"['Fantasy', 'Comedy', 'Adventure']",6.8
Pokémon: The First Movie: Mewtwo Strikes Back,['Animation'],6.7
Where's Marlowe?,"['Comedy', 'Mystery', 'Thriller']",5.5
The Ape,"['Drama', 'Horror', 'Science Fiction']",5.3
British Intelligence,"['Action', 'Adventure']",5.8
The Commitments,"['Comedy', 'Drama', 'Music']",7.4
The Longest Day,"['Action', 'Drama', 'History', 'War']",7.3
Poison Ivy,['Thriller'],5.2
Poison Ivy: The New Seduction,"['Thriller', 'Romance']",4.1
Tora! Tora! Tora!,"['History', 'Action', 'Drama', 'Adventure', 'War']",6.9
The Verdict,['Drama'],7.4
The Adventures of Buckaroo Banzai Across the 8th Dimension,"['Comedy', 'Science Fiction']",6.3
Stand and Deliver,['Drama'],7.3
The Sandpiper,"['Drama', 'Romance']",5.7
Jeremiah Johnson,"['Adventure', 'Western']",7.5
Repulsion,"['Drama', 'Horror', 'Thriller']",7.5
Irma la Douce,"['Comedy', 'Romance']",7.1
Liberty Heights,['Drama'],6.7
"Goodbye, 20th Century","['Adventure', 'Comedy', 'Fantasy', 'Science Fiction']",7.5
Sleepy Hollow,"['Drama', 'Fantasy', 'Thriller', 'Mystery']",6.9
The World Is Not Enough,"['Adventure', 'Action', 'Thriller']",6.0
All About My Mother,"['Comedy', 'Drama']",7.4
Scrooged,"['Fantasy', 'Comedy', 'Drama']",6.7
Harvey,"['Comedy', 'Drama']",7.7
Bicycle Thieves,['Drama'],8.0
Matewan,['Drama'],7.2
McCabe & Mrs. Miller,['Western'],7.3
The Grapes of Wrath,['Drama'],7.8
My Man Godfrey,['Comedy'],6.4
The Shop Around the Corner,"['Comedy', 'Romance']",7.9
The Natural,['Drama'],7.0
A River Runs Through It,['Drama'],7.0
Fatal Attraction,"['Romance', 'Drama', 'Thriller', 'Horror', 'Mystery']",6.6
Jagged Edge,"['Mystery', 'Thriller']",6.5
Stanley & Iris,"['Drama', 'Romance']",5.7
Midnight Run,"['Adventure', 'Comedy', 'Crime']",7.2
Awakenings,['Drama'],7.6
Backdraft,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",6.4
The Fisher King,"['Comedy', 'Drama']",7.2
The River,['Drama'],6.5
Places in the Heart,"['Drama', 'Family']",7.1
End of Days,"['Action', 'Fantasy', 'Horror', 'Mystery']",5.5
Toy Story 2,"['Animation', 'Comedy', 'Family']",7.3
Miss Julie,['Drama'],6.3
Ride with the Devil,"['Drama', 'War', 'Romance', 'Western']",6.6
Tumbleweeds,"['Comedy', 'Drama']",6.2
A Bay of Blood,"['Horror', 'Thriller']",6.4
The Distinguished Gentleman,['Comedy'],5.7
The Hitch-Hiker,"['Crime', 'Thriller']",6.6
Santa Fe Trail,"['Action', 'Western']",3.6
Holy Smoke!,"['Comedy', 'Drama']",5.3
A Map of the World,['Drama'],6.4
The Bonfire of the Vanities,"['Comedy', 'Drama']",5.3
Grand Illusion,"['Drama', 'History', 'War']",7.5
The Great Santini,['Drama'],6.9
The Sea Wolves,"['War', 'Action', 'Thriller']",5.7
Stealing Home,"['Drama', 'Romance']",5.9
The Two Jakes,"['Crime', 'Drama', 'Mystery']",6.2
Hell in the Pacific,"['Drama', 'War']",6.8
The Glass Bottom Boat,"['Comedy', 'Romance']",4.8
Deuce Bigalow: Male Gigolo,['Comedy'],5.4
The Green Mile,"['Fantasy', 'Drama', 'Crime']",8.2
The Cider House Rules,['Drama'],6.9
Diamonds,"['Comedy', 'Drama', 'Mystery']",5.4
The War Zone,['Drama'],7.2
The Last Picture Show,['Drama'],7.6
The 7th Voyage of Sinbad,"['Action', 'Adventure', 'Family', 'Fantasy']",6.8
Blood on the Sun,"['Action', 'Drama', 'War']",5.1
Bicentennial Man,"['Comedy', 'Science Fiction']",6.9
Stuart Little,"['Animation', 'Fantasy', 'Family', 'Comedy']",5.8
Magnolia,['Drama'],7.5
Topsy-Turvy,"['Comedy', 'Drama', 'Music']",6.7
Boiling Point,"['Drama', 'Action', 'Adventure', 'Crime', 'Thriller']",4.6
Brenda Starr,"['Adventure', 'Fantasy']",5.1
Carnal Knowledge,['Drama'],6.7
Easy Rider,"['Adventure', 'Drama']",7.0
The Falcon and the Snowman,"['Thriller', 'Drama', 'Crime']",6.5
Room at the Top,"['Romance', 'Drama']",6.0
Ulysses,['Adventure'],6.3
Any Given Sunday,['Drama'],6.8
Man on the Moon,"['Comedy', 'Drama', 'Romance']",6.9
Galaxy Quest,"['Comedy', 'Family', 'Science Fiction']",6.9
The Talented Mr. Ripley,"['Thriller', 'Crime', 'Drama']",7.1
Next Friday,['Comedy'],6.5
The Hurricane,['Drama'],7.2
Titus,"['Drama', 'History', 'Thriller']",6.5
Montana,"['Drama', 'Action', 'Comedy', 'Crime']",4.8
Snow Falling on Cedars,"['Drama', 'Romance']",6.3
"Girl, Interrupted",['Drama'],7.6
The Life and Times of Hank Greenberg,"['Documentary', 'Family']",4.0
My Dog Skip,"['Comedy', 'Drama', 'Family']",6.5
Supernova,"['Horror', 'Science Fiction', 'Thriller']",4.9
The Terrorist,['Drama'],8.1
The Way We Were,"['Drama', 'Romance']",7.1
Stalag 17,"['Comedy', 'Drama', 'War']",7.6
The Presidio,"['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']",5.7
Papillon,"['Crime', 'Drama']",7.8
Pal Joey,"['Comedy', 'Music', 'Romance']",5.9
The Last Detail,"['Comedy', 'Drama']",7.1
Five Easy Pieces,['Drama'],7.2
Dead Calm,"['Crime', 'Thriller', 'Horror', 'Drama']",6.6
The Boys from Brazil,"['Horror', 'Drama', 'Thriller', 'Science Fiction']",6.6
Black Sunday,['Horror'],7.2
The Snows of Kilimanjaro,"['Action', 'Adventure', 'Drama', 'Romance']",6.1
National Lampoon's Loaded Weapon 1,['Comedy'],5.7
Fast Times at Ridgemont High,['Comedy'],7.0
A Cry in the Dark,['Drama'],6.4
Batman: Mask of the Phantasm,"['Action', 'Adventure', 'Animation', 'Family']",7.4
American Flyers,['Drama'],6.1
Voyage of the Damned,['Drama'],5.5
Vampyros Lesbos,['Horror'],5.5
A Star Is Born,['Drama'],6.3
Pacific Heights,"['Crime', 'Thriller']",6.0
Night Tide,['Thriller'],6.2
Woman in the Dunes,"['Drama', 'Thriller']",8.1
Down to You,"['Comedy', 'Drama', 'Family', 'Romance']",4.9
Another Man's Poison,"['Crime', 'Drama', 'Thriller']",6.4
Seven Chances,"['Comedy', 'Romance']",7.3
Smashing Time,['Comedy'],4.8
Zachariah,"['Western', 'Action', 'Comedy']",7.0
Eye of the Beholder,"['Drama', 'Mystery', 'Thriller']",5.3
Isn't She Great,"['Drama', 'Comedy']",4.6
The Big Tease,"['Comedy', 'Foreign']",5.8
The Cup,['Comedy'],5.9
Encino Man,"['Comedy', 'Family']",5.6
The Goodbye Girl,"['Comedy', 'Romance']",7.3
Sister Act,"['Music', 'Comedy']",6.5
The Hand that Rocks the Cradle,['Thriller'],6.5
Alive,"['Action', 'Adventure', 'Drama', 'Thriller']",6.7
Scent of a Woman,['Drama'],7.3
Wayne's World,"['Music', 'Comedy']",6.5
Wayne's World 2,"['Music', 'Comedy']",5.8
A League of Their Own,['Comedy'],6.8
Patriot Games,"['Drama', 'Action', 'Thriller', 'Crime']",6.4
The Bodyguard,"['Thriller', 'Action', 'Drama', 'Music', 'Romance']",6.2
Death Becomes Her,"['Fantasy', 'Comedy']",6.3
Far and Away,"['Adventure', 'Drama', 'Romance', 'Western']",6.3
Singles,"['Comedy', 'Drama', 'Romance']",6.6
Twin Peaks: Fire Walk with Me,"['Drama', 'Mystery']",7.3
White Men Can't Jump,"['Comedy', 'Drama']",6.2
Buffy the Vampire Slayer,"['Action', 'Comedy', 'Horror']",5.3
Hard Boiled,"['Action', 'Thriller', 'Crime']",7.4
El Mariachi,"['Action', 'Crime', 'Thriller']",6.6
Forever Young,"['Adventure', 'Fantasy', 'Drama', 'Science Fiction', 'Romance']",6.0
The Cutting Edge,"['Comedy', 'Drama', 'Romance']",6.6
Of Mice and Men,['Drama'],7.1
Bad Lieutenant,"['Crime', 'Drama']",6.9
Scream 3,"['Horror', 'Mystery']",5.7
Single White Female,['Thriller'],6.0
The Boondock Saints,"['Action', 'Thriller', 'Crime']",7.2
Gun Shy,"['Action', 'Comedy', 'Romance', 'Thriller']",5.4
Knockout,"['Drama', 'Action']",0.0
The Baby,"['Horror', 'Thriller']",6.1
The Brandon Teena Story,['Documentary'],7.3
Different for Girls,"['Comedy', 'Foreign']",5.2
The Beach,"['Drama', 'Adventure', 'Romance', 'Thriller']",6.3
Snow Day,"['Comedy', 'Family']",4.8
Not One Less,['Drama'],7.5
Soft Toilet Seats,['Comedy'],0.0
Trois,"['Drama', 'Thriller', 'Romance']",4.5
The Big Combo,"['Drama', 'Action', 'Thriller', 'Crime', 'Mystery']",7.2
Eaten Alive,['Horror'],4.9
"To Sir, with Love",['Drama'],7.6
Boiler Room,"['Crime', 'Drama', 'Thriller']",6.5
Hanging Up,"['Comedy', 'Drama']",5.0
Pitch Black,"['Thriller', 'Science Fiction', 'Action']",6.7
The Whole Nine Yards,"['Comedy', 'Crime']",6.3
Beautiful People,"['War', 'Comedy', 'Drama']",6.0
Blue Collar,"['Drama', 'Crime']",7.2
Bluebeard,"['Mystery', 'Thriller']",5.6
City Lights,"['Comedy', 'Drama', 'Romance']",8.2
The Flamingo Kid,"['Comedy', 'Drama', 'Romance']",6.0
A Dog's Life,['Comedy'],7.1
The Kid,"['Comedy', 'Drama']",8.0
The Man from Laramie,['Western'],6.8
The Wild McCullochs,"['Romance', 'Drama']",0.0
The Big Trees,"['Romance', 'Western']",5.2
Happy Go Lovely,"['Music', 'Romance', 'Comedy']",5.0
Reindeer Games,['Thriller'],5.3
Wonder Boys,"['Comedy', 'Drama']",6.9
3 Strikes,"['Action', 'Comedy', 'Romance']",5.9
Chain of Fools,"['Action', 'Comedy', 'Crime']",5.9
Drowning Mona,"['Comedy', 'Crime', 'Mystery']",5.4
The Next Best Thing,['Comedy'],4.3
What Planet Are You From?,"['Comedy', 'Drama', 'Romance', 'Science Fiction']",5.4
Ghost Dog: The Way of the Samurai,"['Crime', 'Drama']",7.2
Splendor in the Grass,"['Drama', 'Romance']",7.1
My Tutor,"['Comedy', 'Drama', 'Romance']",5.8
The Killing of Sister George,"['Comedy', 'Drama']",6.2
Key Largo,"['Crime', 'Drama', 'Thriller']",7.6
Jail Bait,"['Action', 'Crime', 'Thriller']",3.5
It Happened Here,"['War', 'Drama']",5.3
I'll Never Forget What's'isname,"['Comedy', 'Drama']",7.0
Cross of Iron,"['Drama', 'Action', 'History', 'War']",6.6
Born Yesterday,"['Comedy', 'Romance', 'Drama']",6.6
And God Created Woman,"['Comedy', 'Drama', 'Romance']",3.8
Blood Feast,['Horror'],5.3
"Charlie, the Lonesome Cougar","['Adventure', 'Family']",4.9
Color Me Blood Red,['Horror'],5.0
Never Cry Wolf,"['Action', 'Adventure', 'Drama']",6.9
The Night Visitor,"['Crime', 'Horror']",7.3
A Raisin in the Sun,"['Romance', 'Drama']",7.1
Two Thousand Maniacs!,['Horror'],6.2
Brown's Requiem,"['Drama', 'Action', 'Thriller', 'Mystery']",6.0
The Closer You Get,"['Comedy', 'Romance', 'Foreign']",4.5
Mission to Mars,['Science Fiction'],5.7
The Ninth Gate,"['Horror', 'Mystery', 'Thriller']",6.3
Defending Your Life,"['Fantasy', 'Drama', 'Comedy']",6.5
Breaking Away,"['Drama', 'Comedy']",7.4
Hoosiers,"['Drama', 'Family']",7.1
Bull Durham,"['Comedy', 'Romance']",6.6
Dog Day Afternoon,"['Crime', 'Drama', 'Thriller']",7.6
American Graffiti,"['Comedy', 'Drama']",6.9
The Asphalt Jungle,"['Action', 'Crime', 'Drama', 'Thriller']",7.5
The Searchers,['Western'],7.7
The Devil's Brigade,"['War', 'Action']",6.4
The Big Country,"['Drama', 'Western', 'Romance']",7.8
Bound for Glory,['Music'],7.0
Buck and the Preacher,"['Action', 'Comedy', 'Western']",5.0
Hangmen Also Die!,"['Drama', 'History', 'Thriller', 'War']",6.8
On the Beach,"['Science Fiction', 'Drama', 'Romance']",6.7
Slaves to the Underground,"['Comedy', 'Music', 'Drama']",5.0
The Taking of Pelham One Two Three,"['Action', 'Adventure', 'Crime', 'Thriller']",7.6
Volunteers,['Comedy'],5.6
JFK,"['Drama', 'Thriller', 'History']",7.5
Who's Harry Crumb?,"['Comedy', 'Crime', 'Mystery']",5.5
Harry and the Hendersons,"['Comedy', 'Family', 'Fantasy']",5.6
Let's Get Harry,"['Action', 'Adventure']",4.7
Shanghai Surprise,['Adventure'],2.9
Who's That Girl,['Comedy'],5.2
Blind Date,"['Comedy', 'Romance']",5.6
Nadine,"['Action', 'Comedy', 'Romance']",5.5
The Muppet Movie,"['Adventure', 'Comedy', 'Family']",7.0
Sesame Street Presents Follow That Bird,"['Adventure', 'Comedy', 'Family', 'Music']",6.5
We're Back! A Dinosaur's Story,"['Animation', 'Science Fiction', 'Family']",5.8
Raise the Titanic,"['Action', 'Drama', 'Thriller']",5.2
Titanic,"['Drama', 'Action', 'Romance']",6.2
A Night to Remember,"['Drama', 'Action', 'History']",7.5
Captain Horatio Hornblower R.N.,"['War', 'Action', 'Adventure', 'Drama']",6.5
Erin Brockovich,['Drama'],7.1
Final Destination,['Horror'],6.4
Babymother,"['Drama', 'Music', 'TV Movie']",3.0
The Bear,"['Adventure', 'Drama', 'Family']",6.9
Impact,"['Drama', 'Thriller', 'Mystery']",5.8
Love Is a Many-Splendored Thing,"['Drama', 'Romance']",5.8
The Crimson Pirate,"['Action', 'Adventure', 'Comedy']",6.9
Thelma & Louise,"['Drama', 'Thriller', 'Crime', 'Adventure']",7.2
Animal House,['Comedy'],7.0
She's Gotta Have It,"['Comedy', 'Romance']",6.2
Do the Right Thing,['Drama'],7.6
Coogan's Bluff,"['Action', 'Crime', 'Drama', 'Thriller']",6.2
The Champ,"['Drama', 'Family']",6.7
Death Wish,"['Action', 'Crime', 'Drama', 'Thriller']",7.0
Death Wish 2,"['Action', 'Crime', 'Thriller']",6.1
Death Wish 3,"['Action', 'Crime', 'Drama', 'Thriller']",6.1
Death Wish 4: The Crackdown,"['Thriller', 'Action', 'Adventure', 'Crime']",5.6
Death Wish 5: The Face of Death,"['Action', 'Crime', 'Drama', 'Thriller']",5.0
Double Indemnity,"['Drama', 'Mystery', 'Thriller']",8.0
Cool as Ice,"['Drama', 'Action', 'Comedy', 'Music', 'Romance']",4.7
Teenage Mutant Ninja Turtles,"['Science Fiction', 'Action', 'Adventure', 'Comedy', 'Family']",6.5
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"['Science Fiction', 'Adventure', 'Action', 'Comedy', 'Family']",5.8
Teenage Mutant Ninja Turtles III,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Science Fiction']",5.1
Band of the Hand,"['Action', 'Crime', 'Drama']",6.9
Born American,"['Drama', 'Action']",3.6
Bloodsport,['Action'],6.6
The Good Earth,['Drama'],5.7
"Good Morning, Vietnam","['Comedy', 'Drama', 'War']",7.1
The Good Mother,"['Drama', 'Romance']",4.7
Grumpy Old Men,"['Comedy', 'Family', 'Romance']",6.5
Guess Who's Coming to Dinner,"['Comedy', 'Drama', 'Romance']",7.6
Romeo Must Die,"['Action', 'Crime', 'Thriller']",6.0
Whatever It Takes,"['Drama', 'Comedy', 'Romance']",5.1
Waking the Dead,"['Drama', 'Romance']",6.5
Blood and Sand,"['Drama', 'Romance']",3.3
Gothic,"['Drama', 'Fantasy', 'Horror']",5.8
Hillbillys in a Haunted House,"['Comedy', 'Horror', 'Music']",1.5
Lord of the Flies,"['Thriller', 'Adventure', 'Drama']",6.6
Modern Times,"['Drama', 'Comedy']",8.1
Solar Crisis,"['Adventure', 'Drama', 'Action', 'Thriller', 'Science Fiction', 'Foreign']",4.4
Heart and Souls,"['Fantasy', 'Drama', 'Comedy', 'Science Fiction', 'Romance']",6.6
Hud,"['Action', 'Drama', 'Western']",7.4
The Hustler,['Drama'],7.6
Inherit the Wind,"['Drama', 'History']",7.6
Dersu Uzala,"['Action', 'Adventure', 'Drama']",8.0
Close Encounters of the Third Kind,"['Science Fiction', 'Drama']",7.2
The City of the Dead,"['Mystery', 'Horror']",6.5
A Place in the Sun,"['Drama', 'Romance']",6.9
Jacob's Ladder,"['Drama', 'Mystery', 'Horror']",7.3
Empire Records,"['Comedy', 'Drama']",6.6
La Bamba,"['Drama', 'Music']",6.8
Ladyhawke,"['Adventure', 'Drama', 'Fantasy', 'Romance']",6.8
Lucas,"['Comedy', 'Drama', 'Romance']",6.4
High Fidelity,"['Comedy', 'Drama', 'Romance', 'Music']",7.0
The Road to El Dorado,"['Adventure', 'Animation', 'Comedy', 'Family']",7.0
The Skulls,"['Crime', 'Drama', 'Thriller']",5.7
Devil Girl from Mars,['Science Fiction'],4.0
El Dorado,['Western'],7.2
The Hideous Sun Demon,"['Horror', 'Science Fiction']",5.7
Hook,"['Adventure', 'Fantasy', 'Comedy', 'Family']",6.7
Horror Express,['Horror'],6.2
My Chauffeur,"['Comedy', 'Romance']",6.2
The Son of the Sheik,"['Adventure', 'Drama', 'Action', 'Romance']",4.7
Torso,"['Horror', 'Mystery', 'Thriller']",6.2
True Grit,['Western'],7.3
Roadside Prophets,"['Action', 'Adventure', 'Comedy', 'Drama']",6.8
Max Dugan Returns,"['Comedy', 'Drama', 'Family']",6.3
Midnight Express,"['Drama', 'Crime']",7.6
Misery,"['Drama', 'Thriller']",7.6
Mr. Saturday Night,"['Drama', 'Comedy']",5.2
Murphy's Romance,"['Comedy', 'Romance']",5.7
My Life,"['Drama', 'Romance']",6.2
Network,['Drama'],7.8
No Way Out,"['Action', 'Drama', 'Thriller']",6.9
North Dallas Forty,"['Comedy', 'Drama']",6.2
The Odd Couple,['Comedy'],7.5
The Outlaw Josey Wales,"['Drama', 'Western']",7.4
Black and White,['Drama'],4.6
Frequency,"['Crime', 'Drama', 'Science Fiction', 'Thriller']",7.0
Ready to Rumble,"['Action', 'Comedy', 'Drama']",4.7
Return to Me,"['Romance', 'Comedy', 'Drama']",6.1
Rules of Engagement,"['Action', 'Adventure', 'Drama', 'History', 'War']",6.0
Me Myself I,"['Comedy', 'Romance']",5.9
"Bell, Book and Candle","['Fantasy', 'Comedy', 'Romance']",6.4
The End of Violence,"['Drama', 'Thriller']",5.1
Taffin,"['Action', 'Thriller']",6.4
Arthur,"['Comedy', 'Drama', 'Romance']",6.5
Bachelor Party,['Comedy'],5.8
Parenthood,"['Comedy', 'Drama', 'Family']",6.4
Predator,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",7.3
The Prince of Tides,"['Drama', 'Romance']",5.9
The Postman Always Rings Twice,"['Romance', 'Crime', 'Drama']",6.4
28 Days,"['Comedy', 'Drama']",6.0
American Psycho,"['Thriller', 'Drama', 'Crime']",7.3
Keeping the Faith,['Comedy'],5.9
Where the Money is,"['Comedy', 'Crime', 'Drama']",5.5
East Is East,['Comedy'],6.5
The Filth and the Fury,"['Documentary', 'Music']",7.3
Passion of Mind,"['Drama', 'Romance']",5.8
Diner,"['Comedy', 'Drama']",6.9
Shakes the Clown,"['Action', 'Comedy']",5.5
Cabaret,"['Drama', 'Music', 'Romance']",7.4
What Ever Happened to Baby Jane?,"['Drama', 'Horror', 'Thriller']",7.9
Auntie Mame,"['Comedy', 'Drama']",6.4
Guys and Dolls,"['Comedy', 'Music', 'Romance']",6.9
The Hunger,"['Horror', 'Thriller', 'Romance']",6.4
Marathon Man,['Thriller'],7.2
Caddyshack,['Comedy'],6.7
Gossip,"['Drama', 'Mystery', 'Thriller']",5.6
Love & Basketball,"['Action', 'Comedy', 'Drama', 'Romance']",7.5
U-571,"['Action', 'Drama', 'Thriller', 'War']",6.1
The Virgin Suicides,"['Drama', 'Romance']",7.1
Jennifer Eight,"['Crime', 'Drama', 'Mystery']",5.8
The Law,['Drama'],6.8
Limelight,"['Comedy', 'Drama', 'Romance']",8.0
Stacy's Knights,['Drama'],0.0
Committed,"['Comedy', 'Drama']",4.4
The Crow: Salvation,"['Action', 'Science Fiction', 'Thriller']",4.9
The Flintstones in Viva Rock Vegas,"['Science Fiction', 'Comedy', 'Family', 'Romance']",4.4
Where the Heart Is,"['Comedy', 'Drama', 'Romance']",6.9
Smiling Fish & Goat On Fire,"['Comedy', 'Romance']",7.0
Timecode,['Drama'],5.9
Carnosaur,"['Horror', 'Science Fiction']",3.9
Carnosaur 2,"['Horror', 'Science Fiction']",4.8
Carnosaur 3: Primal Species,"['Action', 'Horror', 'Science Fiction']",5.0
The Hidden,"['Action', 'Horror', 'Science Fiction', 'Thriller']",6.7
Gladiator,"['Action', 'Drama', 'Adventure']",7.9
I Dreamed of Africa,"['Romance', 'Drama', 'Adventure']",5.3
Human Traffic,"['Comedy', 'Drama']",6.8
Breathless,"['Action', 'Drama', 'Romance', 'Thriller']",5.6
The Great Locomotive Chase,"['Action', 'Adventure', 'Drama', 'Family']",5.2
The Idolmaker,"['Drama', 'Romance', 'Music']",6.5
Inferno,"['Horror', 'Thriller']",6.6
The Lords of Flatbush,['Drama'],5.7
Mr. Mom,"['Comedy', 'Drama', 'Family']",6.5
Battlefield Earth,"['Action', 'Science Fiction', 'War']",3.0
Center Stage,"['Drama', 'Music']",6.8
Whipped,"['Comedy', 'Romance']",3.1
Hamlet,['Drama'],6.0
Anchors Aweigh,"['Comedy', 'Fantasy', 'Music', 'Romance']",6.3
Blue Hawaii,"['Comedy', 'Music', 'Romance']",5.2
The Castaway Cowboy,"['Adventure', 'Family', 'Comedy', 'Western']",6.1
G.I. Blues,"['Comedy', 'Music']",6.3
The Gay Deceivers,['Comedy'],5.0
Gypsy,"['Comedy', 'Drama', 'Music']",6.5
King Creole,"['Drama', 'Action', 'Music', 'Romance']",6.5
On the Town,"['Comedy', 'Music', 'Romance']",6.9
One Little Indian,['Family'],6.9
Pee-wee's Big Adventure,"['Adventure', 'Comedy']",6.6
Roustabout,"['Drama', 'Music', 'Romance']",5.8
Saludos Amigos,"['Animation', 'Family']",5.8
The Slipper and the Rose,"['Adventure', 'Family', 'Fantasy', 'Romance']",6.8
Things Change,"['Drama', 'Comedy', 'Crime']",6.4
Honeymoon in Vegas,"['Action', 'Comedy', 'Romance', 'Thriller']",5.5
Dinosaur,"['Animation', 'Family']",6.2
Loser,"['Drama', 'Comedy', 'Romance', 'Family']",5.0
Road Trip,"['Comedy', 'Adventure']",5.9
Small Time Crooks,"['Action', 'Comedy', 'Crime']",6.4
Possession,"['Drama', 'Horror']",6.9
The Twelve Chairs,['Comedy'],6.7
Mission: Impossible II,"['Adventure', 'Action', 'Thriller']",5.9
Shanghai Noon,"['Adventure', 'Action', 'Comedy', 'Western']",6.2
Better Living Through Circuitry,"['Documentary', 'Music']",4.0
8 ½ Women,"['Drama', 'Comedy']",6.3
Carnival of Souls,"['Horror', 'Mystery']",6.7
Flying Tigers,"['Action', 'Drama', 'History']",6.1
The Gold Rush,"['Adventure', 'Comedy', 'Drama']",7.7
Lisa and the Devil,"['Fantasy', 'Horror', 'Science Fiction']",6.2
Monsieur Verdoux,"['Comedy', 'Crime', 'Drama']",7.9
On Her Majesty's Secret Service,"['Adventure', 'Action', 'Thriller']",6.5
Seven Days in May,"['Drama', 'Thriller']",6.9
The Spy Who Loved Me,"['Adventure', 'Action', 'Thriller']",6.6
Moonraker,"['Action', 'Adventure', 'Thriller', 'Science Fiction']",5.9
The Man with the Golden Gun,"['Adventure', 'Action', 'Thriller']",6.4
A King in New York,"['Comedy', 'Drama']",7.1
The Fighting Seabees,"['Action', 'War']",6.4
Dark Command,"['Drama', 'Romance', 'Western']",5.7
Big Momma's House,"['Crime', 'Comedy']",5.6
Running Free,['Family'],3.0
The Abominable Snowman,"['Adventure', 'Horror']",6.4
American Gigolo,"['Thriller', 'Drama', 'Crime', 'Romance']",5.9
Anguish,"['Crime', 'Horror', 'Thriller']",6.6
The Blood Spattered Bride,['Horror'],6.0
City of the Living Dead,['Horror'],5.9
The Guns of Navarone,"['Action', 'Adventure', 'Drama', 'War']",7.3
Lured,"['Drama', 'Thriller', 'Mystery']",6.0
Pandora and the Flying Dutchman,"['Fantasy', 'Drama', 'Mystery', 'Romance']",6.5
Quatermass and the Pit,"['Horror', 'Science Fiction']",6.2
Quatermass II,"['Horror', 'Science Fiction']",6.2
Puppet Master,['Horror'],5.5
Puppet Master II,['Horror'],5.8
Puppet Master III Toulon's Revenge,['Horror'],6.0
Puppet Master 4,['Horror'],4.9
Puppet Master 5: The Final Chapter,['Horror'],4.2
Curse of the Puppet Master,['Horror'],3.6
Retro Puppet Master,['Horror'],2.5
Rent-a-Cop,"['Comedy', 'Crime', 'Action']",4.6
Romeo and Juliet,"['Drama', 'Romance']",7.3
Stay Tuned,"['Comedy', 'Fantasy']",6.0
The Story of G.I. Joe,"['Drama', 'War']",4.8
Blazing Saddles,"['Western', 'Comedy']",7.2
Benji the Hunted,"['Action', 'Adventure', 'Family']",6.4
For the Love of Benji,['Family'],5.6
White Christmas,"['Comedy', 'Music', 'Romance']",6.9
Eraserhead,"['Drama', 'Fantasy', 'Horror', 'Science Fiction']",7.5
Baraka,['Documentary'],8.0
The Decline of Western Civilization Part II: The Metal Years,"['Documentary', 'Music']",6.8
For a Few Dollars More,['Western'],7.8
Magnum Force,"['Action', 'Crime', 'Thriller']",7.1
Blood Simple,"['Crime', 'Drama', 'Thriller']",7.3
The Fabulous Baker Boys,"['Music', 'Drama', 'Romance']",6.5
Flatliners,"['Drama', 'Horror', 'Science Fiction', 'Thriller']",6.3
Porky's,['Comedy'],6.1
Porky's II: The Next Day,['Comedy'],5.2
Porky's 3: Revenge,['Comedy'],5.0
Private School,"['Comedy', 'Romance']",5.0
The Toxic Avenger,"['Science Fiction', 'Action', 'Comedy', 'Horror']",6.3
Night of the Creeps,"['Comedy', 'Horror', 'Science Fiction']",6.6
Predator 2,"['Science Fiction', 'Action', 'Thriller']",6.0
The Running Man,"['Action', 'Science Fiction']",6.4
Starman,"['Action', 'Adventure', 'Romance', 'Science Fiction']",6.6
Alien Nation,"['Crime', 'Science Fiction', 'Thriller']",5.9
Mad Max,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",6.6
Mad Max 2: The Road Warrior,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",7.3
Mad Max Beyond Thunderdome,"['Action', 'Adventure', 'Science Fiction']",5.9
Bird on a Wire,"['Action', 'Adventure', 'Comedy', 'Romance']",5.9
Angel Heart,"['Horror', 'Mystery', 'Thriller']",7.0
Nine 1/2 Weeks,"['Drama', 'Romance']",5.8
Firestarter,"['Fantasy', 'Drama', 'Horror', 'Action', 'Thriller']",5.9
Sleepwalkers,"['Fantasy', 'Horror', 'Thriller']",4.8
Action Jackson,"['Action', 'Adventure', 'Comedy', 'Crime', 'Drama']",4.9
Sarafina!,"['Drama', 'Family', 'Foreign', 'Music']",5.6
